"Institution ID","Institution","Game Date","Uniform Number","Last Name","First Name","Rushing","","","","","Passing","","","","","","Total Off.","","Receiving","","","Pass Int","","","Fumble Ret","","","Punting","","Punt Ret","","","KO Ret","","","Total TD","Off xpts","","","","Def xpts","","","","FG","","Saf","Points"
"","","","","","","Rushes","Gain","Loss","Net","TD","Att","Cmp","Int","Yards","TD","Conv","Plays","Yards","No.","Yards","TD","No.","Yards","TD","No.","Yards","TD","No.","Yards","No.","Yards","TD","No.","Yards","TD","","Kicks Att","Kicks Made","R/P Att","R/P Made","Kicks Att","Kicks Made","Int/Fum Att","Int/Fum Made","Att","Made"
"721","Air Force","09/04/10","10","HUNTER","MIKEL","1","24","0","24","1","","","","","","","1","24","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","09/11/10","10","HUNTER","MIKEL","2","53","0","53","1","","","","","","","2","53","1","37","1","","","","","","","","","","","","","","","2","","","","","","","","","","","","12"
"721","Air Force","09/25/10","10","HUNTER","MIKEL","2","9","0","9","0","","","","","","","2","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/30/10","10","HUNTER","MIKEL","1","21","0","21","0","","","","","","","1","21","2","56","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/06/10","10","HUNTER","MIKEL","1","1","0","1","0","","","","","","","1","1","1","8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/13/10","10","HUNTER","MIKEL","","","","","","","","","","","","0","0","1","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/18/10","10","HUNTER","MIKEL","1","30","0","30","0","","","","","","","1","30","","","","","","","","","","","","","","","2","36","0","","","","","","","","","","","","","0"
"721","Air Force","12/27/10","10","HUNTER","MIKEL","2","34","0","34","0","","","","","","","2","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/04/10","7","JEFFERSON","TIM","8","60","1","59","2","12","7","0","179","2","","20","238","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","12"
"721","Air Force","09/11/10","7","JEFFERSON","TIM","9","43","5","38","1","13","5","1","68","1","","22","106","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","09/18/10","7","JEFFERSON","TIM","13","104","8","96","1","14","8","0","107","0","","27","203","","","","","","","","","","2","78","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","09/25/10","7","JEFFERSON","TIM","14","98","4","94","1","12","5","1","66","0","","26","160","","","","","","","","","","1","50","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","10/02/10","7","JEFFERSON","TIM","10","68","6","62","2","7","5","0","83","0","","17","145","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","12"
"721","Air Force","10/09/10","7","JEFFERSON","TIM","8","32","5","27","0","9","5","1","160","2","","17","187","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/16/10","7","JEFFERSON","TIM","15","95","7","88","0","30","13","1","175","1","0","45","263","","","","","","","","","","","","","","","","","","","","","1","0","","","","","","","","0"
"721","Air Force","10/23/10","7","JEFFERSON","TIM","9","46","7","39","1","7","3","0","47","0","","16","86","","","","","","","","","","5","245","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","10/30/10","7","JEFFERSON","TIM","16","85","18","67","1","13","8","2","201","1","","29","268","","","","","","","","","","1","48","","","","","","","1","","","1","0","","","","","","","","6"
"721","Air Force","11/06/10","7","JEFFERSON","TIM","11","59","2","57","2","7","3","0","124","2","","18","181","","","","","","","","","","2","77","","","","","","","2","","","","","","","","","","","","12"
"721","Air Force","11/13/10","7","JEFFERSON","TIM","13","82","4","78","1","3","2","0","21","0","","16","99","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","11/18/10","7","JEFFERSON","TIM","16","66","2","64","3","9","7","0","111","1","","25","175","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","18"
"721","Air Force","12/27/10","7","JEFFERSON","TIM","12","30","5","25","0","23","11","0","117","0","","35","142","","","","","","","","","","1","44","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/04/10","21","JONES","DARIUS","4","51","2","49","0","","","","","","","4","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/11/10","21","JONES","DARIUS","1","9","0","9","0","","","","","","","1","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/23/10","21","JONES","DARIUS","2","18","4","14","0","","","","","","","2","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/13/10","21","JONES","DARIUS","1","1","0","1","0","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/04/10","2","JONES","MARQUEZ","3","19","0","19","1","","","","","","","3","19","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","09/04/10","85","KAUTH","ZACH","","","","","","","","","","","","0","0","1","13","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/18/10","85","KAUTH","ZACH","","","","","","","","","","","","0","0","3","45","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/25/10","85","KAUTH","ZACH","","","","","","","","","","","","0","0","2","21","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/09/10","85","KAUTH","ZACH","","","","","","","","","","","","0","0","3","85","2","","","","","","","","","","","","","","","2","","","","","","","","","","","","12"
"721","Air Force","11/13/10","85","KAUTH","ZACH","","","","","","","","","","","","0","0","2","36","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","11/18/10","85","KAUTH","ZACH","","","","","","","","","","","","0","0","3","53","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","12/27/10","85","KAUTH","ZACH","","","","","","","","","","","","0","0","2","21","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/04/10","9A","LACOSTE","","1","21","0","21","0","","","","","","","1","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/04/10","38","MICHAELS","BRENT","1","5","0","5","0","","","","","","","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/18/10","36","MORRIS, JR.","ANDRE","","","","","","","","","","","","0","0","","","","1","24","0","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/11/10","8","REMBERT","REGGIE","","","","","","","","","","","","0","0","","","","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/02/10","8","REMBERT","REGGIE","","","","","","","","","","","","0","0","","","","","","","","","","","","1","5","0","","","","","","","","","","","","","","","","0"
"721","Air Force","10/09/10","8","REMBERT","REGGIE","","","","","","","","","","","","0","0","","","","1","30","0","1","0","0","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/16/10","8","REMBERT","REGGIE","","","","","","","","","","","","0","0","","","","1","0","0","","","","","","1","7","0","","","","","","","","","","","","","","","","0"
"721","Air Force","11/13/10","8","REMBERT","REGGIE","","","","","","","","","","","","0","0","","","","","","","","","","","","2","0","0","","","","","","","","","","","","","","","","0"
"721","Air Force","11/18/10","8","REMBERT","REGGIE","","","","","","","","","","","","0","0","","","","","","","","","","","","1","1","0","","","","","","","","","","","","","","","","0"
"721","Air Force","12/27/10","8","REMBERT","REGGIE","","","","","","","","","","","","0","0","","","","","","","","","","","","2","46","0","","","","","","","","","","","","","","","","0"
"721","Air Force","09/04/10","99","SODERBERG","ERIK","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","8","8","0","0","","","","","1","1","","11"
"721","Air Force","09/11/10","99","SODERBERG","ERIK","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","5","5","0","0","","","","","1","0","","5"
